               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060669,            0.075549,                   0,             0.29883,             0.30992,             0.21095,            0.068608,            0.014679,            0.017303,                   0,           0.0033315,           0.0033315,            0.070016
                   1,            0.043936,            0.057367,                   0,             0.62916,             0.69916,             0.64929,             0.23875,             0.01117,            0.011223,                   0,           0.0065181,           0.0065181,            0.039869
                   2,            0.039459,            0.049717,                   0,              0.9232,             0.70185,             0.82958,             0.37935,            0.010717,           0.0085006,                   0,           0.0091389,           0.0091389,            0.009157
                   3,            0.034602,            0.046735,                   0,             0.91556,             0.82924,              0.8901,             0.44204,           0.0087214,           0.0075854,                   0,            0.008145,            0.008145,            0.008145
                   4,            0.032071,            0.044724,                   0,             0.92818,              0.8484,             0.91771,             0.46201,            0.008572,           0.0071976,                   0,            0.008145,            0.008145,            0.008145
                   5,            0.029889,            0.042326,                   0,             0.91652,             0.90786,             0.94622,             0.52114,           0.0077848,           0.0062129,                   0,           0.0068906,           0.0068906,           0.0068906
                   6,            0.028379,            0.041301,                   0,             0.91844,             0.92269,             0.95018,             0.52357,           0.0076828,           0.0060225,                   0,              0.0055,              0.0055,              0.0055
                   7,            0.027366,            0.040724,                   0,             0.92489,             0.92739,             0.95904,             0.55076,           0.0072991,           0.0059947,                   0,           0.0041094,           0.0041094,           0.0041094
                   8,            0.026249,            0.039275,                   0,             0.94004,             0.92303,             0.96064,             0.56465,           0.0070412,           0.0056946,                   0,            0.002855,            0.002855,            0.002855
                   9,             0.02564,            0.037852,                   0,             0.92627,             0.94319,             0.96154,             0.57753,           0.0068643,           0.0055906,                   0,           0.0018594,           0.0018594,           0.0018594
